lemma	pos	freq
radoon	s	736
trapp	s	734
röga	s	734
votta	s	733
kikilips	s	732
vapimärk	s	732
ogar	a	732
lõpujoon	s	731
idarinne	s	731
chip	s	730
totakas	s	729
tagakeha	s	728
säga	s	726
regent	s	726
vötta	s	725
klikates	s	725
rokkar	s	724
häbematu	a	724
rukola	s	723
lipuke	s	721
sepaonu	s	721
puding	s	720
tippaeg	s	720
lott	s	719
cup	s	719
kubisev	a	718
vitaalne	a	718
heb	s	718
pappel	s	717
häbipost	s	717
kipitus	s	717
vet	s	713
ökopood	s	713
epiloog	s	713
idablokk	s	710
südametu	a	710
agul	s	710
tõkend	s	709
labajalg	s	709
õppefilm	s	709
nid	s	707
õppetükk	s	706
sätendav	a	706
mägismaa	s	706
login	s	706
igamees	s	706
bit	s	704
õppekulu	s	704
ita	s	703
udar	s	701
tekikott	s	701
lipupäev	s	701
sadist	s	700
kida	s	699
tippaja	s	698
päde	s	697
räpp	s	696
jagamatu	a	696
tsikk	s	695
süttiv	a	694
sobi	s	693
nede	s	693
põdeja	s	693
tobedus	s	693
ukaas	s	692
kit	s	691
sutt	s	691
läbilöök	s	690
natukene	s	687
trükiarv	s	686
suguti	s	686
debütant	s	685
tibuke	s	685
supilinn	s	684
lõpupeo	s	684
edastaja	s	684
lõpupidu	s	684
pudin	s	682
jagamata	a	682
õpioskus	s	682
lõpupäev	s	682
mott	s	681
nagin	s	681
naga	s	680
vabakonn	s	679
luterlus	s	679
räbal	s	677
kodusaar	s	677
ätt	s	677
lõppaste	s	677
tagaja	s	677
again	s	677
kebab	s	676
vagiina	s	674
pidurdus	s	674
protecte	s	672
sattuv	a	670
õpperuum	s	669
hukatu	s	668
madalsoo	s	668
nippel	s	666
kakaovõi	s	666
topic	s	665
supiköök	s	665
apostlik	a	665
kikkis	a	664
kodanlus	s	664
teder	s	664
tigedus	s	663
läkaköha	s	663
hakitu	s	661
sabaots	s	661
krõbusk	s	660
metanool	s	659
rodu	s	657
sõba	s	657
take	s	657
dekoor	s	654
mugandus	s	654
pudelike	s	654
vagel	s	653
let	s	653
dog	s	650
kakuke	s	650
digibox	s	649
nukumaja	s	648
kodutoit	s	647
mat	s	647
rakendav	a	647
lugemik	s	647
litakas	s	646
slogan	s	646
madar	s	645
lodev	a	645
labiilne	a	644
kudemine	s	644
rõduuks	s	644
zip	s	644
date	s	643
shop	s	642
tädipoeg	s	642
jet	s	641
setup	s	641
hüppaja	s	640
lagipea	s	639
uduvihm	s	638
club	s	637
pagendus	s	636
pagun	s	635
chat	s	635
tak	s	633
vägavä	s	632
sidesõna	s	629
idand	s	629
õpikoda	s	628
sõdiv	a	628
kodinad	s	627
sideamet	s	626
logisev	a	626
agarus	s	624
mediaan	s	624
oki	s	624
pakitu	s	623
suga	s	623
hobikord	s	623
kribada	s	622
koduõlu	s	622
lugev	a	621
bagi	s	621
tigekala	s	621
lokkav	a	620
läbiviik	s	618
map	s	618
vadak	s	618
nokia	s	618
kübeke	s	617
patakas	s	616
dok	s	615
koduköök	s	614
jakuut	s	613
räppari	s	611
sõkal	s	611
kadund	s	610
rakis	s	610
legaat	s	610
rikutus	s	607
sadevesi	s	607
tupeseen	s	606
feta	s	604
bituumen	s	604
apaatne	a	604
mod	s	601
läppari	s	601
nokamüts	s	600
ebaküps	a	599
potisepp	s	598
õppetasu	s	598
katood	s	598
meteoor	s	598
hädas	a	597
nabanöör	s	597
mutukas	s	596
pidurdav	a	596
fat	s	596
rakenduv	a	596
mudelist	s	595
sepatöö	s	595
käkitegu	s	594
pabin	s	594
lotovõit	s	593
rakend	s	592
vägijook	s	589
vokalist	s	589
segarühm	s	587
südikas	a	586
edastav	a	585
abaluu	s	584
kodundus	s	583
löga	s	583
lipumast	s	583
sütitav	a	582
rubiin	s	582
kodusiga	s	582
mädanev	a	582
rakuke	s	582
katik	s	582
jutuvada	s	581
kogupere	a	580
abijõud	s	579
netipulk	s	578
tsipa	s	577
settings	s	576
lapitöö	s	576
lapimaa	s	576
pote	s	575
did	s	575
okei	s	574
tabalukk	s	574
lukustus	s	574
abajas	s	574
logifail	s	574
tagarehv	s	573
koduvein	s	572
kobin	s	572
klikkige	s	572
sakalane	s	571
nake	s	570
letihind	s	570
nõder	a	569
epohh	s	568
kabaree	s	568
näpits	s	567
god	s	567
vatipadi	s	567
läga	s	567
pugeja	s	567
nadu	s	567
raputav	a	566
meduus	s	566
kukkuja	s	564
lukuauk	s	563
obelisk	s	562
motomees	s	561
nikerdus	s	561
nõgu	s	561
vad	s	560
laborant	s	559
brikett	s	558
räbal	a	558
habemik	s	558
adenoid	s	554
ebatõhus	a	554
krigin	s	554
jutukogu	s	554
ribosoom	s	554
stabika	s	553
magala	s	553
jokker	s	552
kokakool	s	552
sapikivi	s	552
ökoloog	s	550
sitapea	s	550
botas	s	550
ebalev	a	549
ebapuhas	a	549
mop	s	549
litt	s	548
sapine	a	548
pikap	s	548
kupar	s	548
udupeen	a	547
kataster	s	547
nutulaul	s	546
hobiauto	s	546
giga	s	546
kogumass	s	546
epiteet	s	546
šedööver	s	545
beta	s	544
lipuvärv	s	544
jugapuu	s	543
nägev	a	543
potents	s	543
tekike	s	541
ika	s	541
katakomb	s	540
kodulugu	s	540
jõgikond	s	540
patiseis	s	540
atoll	s	539
blogisi	s	539
sätestav	a	537
käpaline	s	537
lõbumaja	s	535
käpake	s	535
kätepesu	s	534
natike	a	534
sugutung	s	532
õppimis	s	532
brokkoli	s	531
pide	s	531
tagarida	s	530
vagur	a	529
satikas	s	528
gradient	s	527
statist	s	526
mit	s	526
õppinu	s	526
kogetav	a	526
got	s	525
läbija	s	525
step	s	525
digika	s	524
regada	s	524
hägus	a	523
edutu	a	523
kodukakk	s	522
kibe	s	522
tapatöö	s	521
nott	s	521
hõbemünt	s	521
paganlus	s	519
mudu	s	518
igikelts	s	518
nopped	s	516
sepis	s	513
ugalane	s	513
ökoküla	s	511
jap	s	511
veda	s	510
had	s	508
supaka	s	508
rakurss	s	508
vakantne	a	507
hub	s	507
potilill	s	506
motopood	s	505
metodist	s	505
medium	s	504
kodukale	a	503
grotesk	s	503
rotu	s	503
plekine	a	502
tükiline	a	501
vabamüük	s	501
näkileib	s	501
lugulaul	s	501
opel	s	500
kappar	s	500
lik	s	499
sprott	s	499
igavlev	a	498
juku	s	498
hägusus	s	498
fakk	s	498
spidoka	s	497
judokas	s	497
kogukaal	s	497
vabaaine	s	497
sudu	s	497
õgimine	s	496
raputus	s	496
laga	s	496
tip	s	495
beduiin	s	494
strippar	s	494
ligiolu	s	494
vlog	s	494
krabin	s	493
igand	s	493
dating	s	493
vokaalne	a	492
hobujaam	s	492
akupakk	s	491
eba	s	490
mägiküla	s	489
nägemis	s	488
editor	s	488
kukeke	s	486
läbivus	s	486
kapinurk	s	486
kodukokk	s	485
lopuks	s	485
luger	s	484
põgeneja	s	483
jagatu	s	483
kage	s	483
näputäis	s	482
jaburdus	s	482
põdur	a	482
kodalane	s	482
segapaar	s	481
digilevi	s	478
zlott	s	477
tükitöö	s	477
rabamatk	s	477
kukehari	s	476
aga	s	475
vatitikk	s	475
bet	s	474
suguvend	s	474
sapakas	s	474
mägimatk	s	474
lobist	s	474
pude	a	474
hakand	s	474
nudist	s	473
koputaja	s	472
loputus	s	471
nakatav	a	471
igalühe	s	470
lipukiri	s	470
igaküla	s	470
nupukas	a	469
sopane	a	468
mett	s	467
split	s	467
lada	s	467
opaal	s	466
apaatia	s	466
koguhulk	s	466
cap	s	464
ökotoode	s	464
kodupool	s	463
stäkk	s	460
identsus	s	460
bug	s	459
poteka	s	459
uppunu	s	459
rabarock	s	459
riga	s	458
tagavedu	s	457
abiaine	s	457
digipilt	s	457
südikus	s	455
hukutav	a	455
pat	s	455
liba	s	453
spot	s	453
häbitu	a	453
libu	s	452
hop	s	451
latiino	s	451
ikene	s	450
madaldus	s	449
rabajärv	s	448
kakaouba	s	448
mõtte	s	446
kodukoer	s	446
pagei	s	445
itimees	s	444
tikutops	s	444
tšikk	s	442
pagemine	s	442
liga	s	442
eda	s	441
plate	s	441
bot	s	441
potitaim	s	440
latentne	a	440
kabuhirm	s	439
topaas	s	439
trükitu	s	439
idea	s	439
putin	s	438
mögin	s	438
rabandus	s	437
õppesisu	s	437
fotokott	s	436
soperdis	s	436
vagadus	s	436
kodukeel	s	435
jutumees	s	434
kudu	s	434
zed	s	434
über	s	433
medaljon	s	433
nipitiri	s	433
lõkkease	s	431
magic	s	431
glög	s	431
igatsev	a	430
taganev	a	429
südatalv	s	429
südi	a	429
katend	s	429
metallik	s	429
pipett	s	428
vabakäik	s	428
idapool	s	428
pugu	s	428
itus	s	428
brigadir	s	427
sagar	s	427
hõbehall	a	426
tagaaken	s	426
kobakas	s	426
better	s	425
äki	s	425
butiik	s	424
koduaken	s	424
idakülg	s	424
näpujälg	s	423
rakuline	a	422
tsekk	s	422
edition	s	421
okasmets	s	421
bukett	s	421
gigantne	a	421
kütiorg	s	421
sügiskuu	s	420
tibin	s	420
baka	s	420
kaduvus	s	420
veduk	s	419
okulaar	s	419
potitäis	s	418
ägedus	s	418
stäk	s	417
kipper	s	417
sukapüks	s	416
lõbusus	s	416
trekk	s	415
möte	s	415
details	s	415
digilugu	s	414
atakk	s	414
kiki	s	413
bobi	s	412
vabanenu	s	412
igayks	s	411
kütipolk	s	411
jukola	s	411
hüppav	a	410
rutakas	a	409
kogenu	s	409
frakk	s	409
tigekull	s	408
tagakäpp	s	407
plagu	s	406
category	s	406
õppemäng	s	406
tugiost	s	405
mõtetud	a	405
katapult	s	404
räpasus	s	404
rotike	s	403
pidevus	s	402
biker	s	402
sugurakk	s	401
suport	s	401
jagatav	s	401
südameke	s	400
lakikiht	s	399
drag	s	399
tupenurm	s	399
labakäsi	s	398
sateliit	s	398
udujutt	s	398
gepard	s	397
ütelus	s	397
koka	s	396
fopaa	s	396
cut	s	396
idika	s	396
rakutuum	s	395
sokipaar	s	395
kõbus	a	394
mükoloog	s	394
žetoon	s	393
megabait	s	393
smoking	s	393
vabandav	a	392
ketendav	a	392
nobelist	s	392
kaba	s	392
krõbisev	a	392
bitine	a	392
käbe	a	392
chopper	s	392
udusulg	s	391
jättev	a	391
šnitt	s	391
tugirühm	s	391
tugijalg	s	389
kodaline	a	389
epa	s	389
ebapüsiv	a	388
poku	s	386
käpard	s	386
debiil	s	386
obadus	s	385
okey	s	385
kodukana	s	384
koduleib	s	384
häbistav	a	384
läppar	s	383
jagunev	a	383
kodumets	s	383
sobituv	a	383
nato	s	382
lapiline	a	382
kodukas	s	382
repiiter	s	381
epo	s	381
rabasaar	s	381
uga	s	380
kodutus	s	380
tagaside	s	378
kipakas	a	378
bretoon	s	378
tõtt	s	377
sapitee	s	377
igus	s	377
mote	s	376
tobias	s	375
kodupood	s	373
õppejuht	s	373
käkerdis	s	373
epee	s	373
logar	s	372
mudimine	s	372
topiline	a	372
õppebaas	s	371
log	s	371
dekooder	s	371
tobi	s	371
uduka	s	371
neg	s	370
tsik	s	370
material	s	370
petetu	s	369
lõpufaas	s	369
lubaja	s	369
blogisne	a	369
ratio	s	369
sütik	s	367
sabarakk	s	367
broker	s	367
hate	s	366
kriba	s	366
mägijõgi	s	366
jätis	s	366
rabamine	s	365
sabin	s	364
abilaen	s	364
pakis	s	364
sadav	a	364
fregatt	s	364
sokilõng	s	364
nukuke	s	363
sake	s	363
lugus	s	363
mad	s	362
gigabait	s	362
kadunud	a	362
kakamine	s	362
mügarik	s	362
lõppuks	s	362
kap	s	362
vakus	s	362
tšekaa	s	362
epiteel	s	361
idest	s	361
megasuur	a	360
läbiviiv	a	360
kubism	s	360
cit	s	360
shot	s	359
kodukiri	s	359
late	s	358
tsek	s	358
vatitups	s	358
plöga	s	358
vakants	s	358
lükopeen	a	357
jutujärg	s	357
lagundav	a	357
sodimine	s	356
jagatis	s	356
trükkal	s	356
tugipost	s	355
drop	s	355
katelok	s	353
õgard	s	353
köpa	s	353
regull	s	352
fekaalid	s	352
tega	s	352
tagapink	s	351
idatiib	s	351
slot	s	351
propaan	s	351
kadents	s	351
hägu	s	351
kõdi	s	351
lekk	s	350
kribu	s	350
ebe	s	349
reka	s	349
higilõhn	s	349
papüürus	s	349
läbivool	s	348
nukits	s	348
paduka	s	348
stipp	s	347
state	s	347
kodukal	s	346
jota	s	346
labe	s	345
müdin	s	344
nutifon	s	344
kätis	s	344
mittu	s	344
õpiabi	s	344
kõdunev	a	343
vapikilp	s	343
pikaveri	s	343
tattoo	s	343
tabamata	a	342
ridikül	s	342
papaia	s	341
odüsseia	s	341
igihali	s	341
akk	s	341
kateeter	s	341
ideestik	s	341
tikutoos	s	340
sigur	s	340
apostill	s	340
haka	s	340
kaguserv	s	338
lapakas	s	338
mik	s	338
hädaorg	s	337
mater	s	335
lätis	s	335
pikker	s	335
petukiri	s	335
kut	s	335
läbipesu	s	335
fetiš	s	335
krabisev	a	334
labak	s	334
natura	s	334
kogutu	s	334
abiandja	s	334
kodukool	s	333
lödipüks	s	333
vibe	s	333
häbe	s	332
kabetaja	s	332
lugend	s	331
õpilugu	s	331
opioidi	s	331
trakeen	s	331
progeja	s	330
õpimapp	s	330
räpakas	a	330
matu	s	329
cotta	s	329
label	s	329
vibur	s	329
pakihoid	s	328
takune	a	328
sit	s	328
kogumüük	s	327
papitükk	s	327
igalühel	s	327
nada	s	327
geko	s	327
stage	s	326
tupiktee	s	325
sagiv	a	325
mötte	s	325
tagakius	s	325
utiil	s	324
tragi	s	324
odaots	s	324
täpe	s	324
tutikas	s	324
triger	s	324
kaduvik	s	324
õppeaste	s	323
note	s	322
mikker	s	321
toto	s	321
etteanne	s	321
vaginoos	s	320
madalus	s	320
pudipadi	s	319
rebu	s	319
sobing	s	319
metoodik	s	318
pigimatt	s	318
superhea	s	318
reba	s	318
veganiks	s	318
ebakoht	s	317
tekkel	s	317
äbarik	a	316
netu	s	316
digileht	s	316
pättus	s	316
agonist	s	316
nokats	s	315
rotipoeg	s	315
latakas	s	315
äppe	s	315
hakab	s	315
apoptoos	s	315
mägiveis	s	315
sütevakk	s	314
ladestus	s	314
abimeede	s	314
padaorg	s	314
putinlik	a	313
kakaduu	s	313
tõkestav	a	313
liputaja	s	313
sudoku	s	312
kodurada	s	312
flat	s	312
libero	s	312
ebakaine	a	312
akutoide	s	311
job	s	311
motor	s	311
läbikäik	s	310
lõppakt	s	310
akaatsia	s	310
vöta	s	309
nobenäpp	s	309
ligane	a	309
fotokat	s	308
lodevus	s	308
itaalia	s	308
trükitav	a	307
gigi	s	307
matistav	a	306
ikkagist	s	306
ridamaja	s	306
dekanaat	s	306
vabasurm	s	306
detox	s	306
sabasulg	s	305
okultism	s	305
sitakott	s	305
kõdu	s	305
gladiool	s	305
vabalinn	s	305
hit	s	304
fotosilm	s	304
ketoos	s	304
modimine	s	303
kodukaup	s	303
okolaad	s	302
pedantne	a	301
nipet	s	301
sudo	s	301
hedonism	s	301
käpajälg	s	301
äke	s	301
südapäev	s	300
kepike	s	300
näd	s	300
mopp	s	300
ladestu	s	300
jibe	s	300
